"uid","NOPD_Item","Type_","TypeText","Priority","TimeCreate","BLOCK_ADDRESS","Zip","Location","DV_related","Location_new","lat","long"
3898675,"C1226419","103D","DOMESTIC DISTURBANCE","2C","3/9/2019 19:59","003XX Royal","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3903183,"C4019119","35D","SIMPLE BATTERY DOMESTIC","2C","3/30/2019 3:22","002XX O'Keefe Ave","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3912189,"C2995019","35D","SIMPLE BATTERY DOMESTIC","2C","3/22/2019 19:56","028XX Magnolia","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3937004,"F3903519","35D","SIMPLE BATTERY DOMESTIC","1A","6/29/2019 0:44","020XX Lakeshore Dr","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3949553,"H0818319","35D","SIMPLE BATTERY DOMESTIC","2C","8/6/2019 18:59","037XX General De Gaulle Dr","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3975606,"G2057719","103D","DOMESTIC DISTURBANCE","2C","7/15/2019 15:36","002XX Poydras","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3987471,"G3690519","103D","DOMESTIC DISTURBANCE","2C","7/27/2019 4:44","014XX N Derbigny St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3993440,"J0292519","56D","CRIMINAL DAMAGE DOMESTIC","2C","10/2/2019 21:55","011XX Le Boeuf St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4015263,"H3802419","103D","DOMESTIC DISTURBANCE","1A","8/27/2019 20:57","010XX Marigny St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4015574,"J1809219","35D","SIMPLE BATTERY DOMESTIC","2C","10/13/2019 23:52","Approx Loc:4325 N Prieur St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4020427,"H2904419","35D","SIMPLE BATTERY DOMESTIC","2C","8/21/2019 16:13","021XX Thalia","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4072375,"J0488019","103D","DOMESTIC DISTURBANCE","1A","10/4/2019 6:18","016XX Elysian Fields Ave","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4085227,"J0777719","35D","SIMPLE BATTERY DOMESTIC","1A","10/6/2019 12:19","045XX Downman Road","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4126723,"L3880519","103D","DOMESTIC DISTURBANCE","1A","12/30/2019 16:47","Saint Ann St & N Rampart St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4130176,"L3506919","103D","DOMESTIC DISTURBANCE","1A","12/27/2019 13:09","Hwy 996 & Box 176","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
4144288,"I1594819","35D","SIMPLE BATTERY DOMESTIC","2C","9/12/2019 10:52","093XX Forshey","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
